id,name,type,parentId,order
-iajqT9tOHSWTvKCAwQXV,요한3서,item,6SZeawrKEBedPAkqctyGh,25
1CfFaASlZursFURh595a0,아모스,item,QUOdtjebsvtXmwFFCcKOy,30
1Jyfyl-MSlpQtP2pnBgdZ,요나,item,QUOdtjebsvtXmwFFCcKOy,32
1x5nHRbk2083c9hlJAnaG,빌립보서,item,6SZeawrKEBedPAkqctyGh,11
2x853OsYzmjeBZTK47d9M,로마서,item,6SZeawrKEBedPAkqctyGh,6
3zghs3L2v7_5nsV4ydSde,디모데전서,item,6SZeawrKEBedPAkqctyGh,15
6SZeawrKEBedPAkqctyGh,신약,group,,2
6YtjbcENMxEXN6906iYV7,오바댜,item,QUOdtjebsvtXmwFFCcKOy,31
7qx2t5nNxe8dmjco37HBo,요한2서,item,6SZeawrKEBedPAkqctyGh,24
82fD11yT7bY8TLUMVUCwI,역대하,item,QUOdtjebsvtXmwFFCcKOy,14
83zy_feYeNfDchhmn7I_d,요한1서,item,6SZeawrKEBedPAkqctyGh,23
8Hp8xjQGJdGzDA0aTm4Yp,에스라,item,QUOdtjebsvtXmwFFCcKOy,15
8lPclOozXIjXFTznff5J0,열왕기하,item,QUOdtjebsvtXmwFFCcKOy,12
A0lYjSGCUJq3oJkMLmpw7,아가,item,QUOdtjebsvtXmwFFCcKOy,22
AH7fHwkCCcldxvVHPemu7,여호수아,item,QUOdtjebsvtXmwFFCcKOy,6
AzMJSmvhIWK6sq2g25zEr,에스더,item,QUOdtjebsvtXmwFFCcKOy,17
BLA_hByVXDj5m80ncljOw,골로새서,item,6SZeawrKEBedPAkqctyGh,12
EkSJcAg3XZ8oW3HXLs9N5,다니엘,item,QUOdtjebsvtXmwFFCcKOy,27
FEGYm1RZZqw8pAuOThUEB,사사기,item,QUOdtjebsvtXmwFFCcKOy,7
IvDJe6dHAaaRdLM_EnvdD,말라기,item,QUOdtjebsvtXmwFFCcKOy,39
JJ_-lmAx9QANQgwV3lKB7,요엘,item,QUOdtjebsvtXmwFFCcKOy,29
K6ET7FHrEJBpGeYBf2ADl,시편,item,QUOdtjebsvtXmwFFCcKOy,19
LEsJyEsLWe-QpYIjN8_Bh,예레미야애가,item,QUOdtjebsvtXmwFFCcKOy,25
LTz1zsq_LSBlkeFc4Xs75,갈라디아서,item,6SZeawrKEBedPAkqctyGh,9
NMUTyuo96AAuVE8h5Irwm,호세아,item,QUOdtjebsvtXmwFFCcKOy,28
P5aS0ykXCl86YQxKJBcIr,열왕기상,item,QUOdtjebsvtXmwFFCcKOy,11
QUOdtjebsvtXmwFFCcKOy,구약,group,,1
RNn6ohNBGYWp4QphhrtgN,스바냐,item,QUOdtjebsvtXmwFFCcKOy,36
TRfjKbgEWOkWPaqTtbskd,데살로니가전서,item,6SZeawrKEBedPAkqctyGh,13
U0G6Wq6u4mRhnmQ5lO2nR,유다서,item,6SZeawrKEBedPAkqctyGh,26
UruA5f6agg61dh_yxB4LY,야고보서,item,6SZeawrKEBedPAkqctyGh,20
WF7v13Me52pIlrVPDq5X0,고린도후서,item,6SZeawrKEBedPAkqctyGh,8
Wj1vNAGwiCdbPfu7TW43J,민수기,item,QUOdtjebsvtXmwFFCcKOy,4
WmaBkK7SbCVbGpniAnPFl,베드로후서,item,6SZeawrKEBedPAkqctyGh,22
WnTgmV2Jjd4n2DX_hIOy_,사무엘하,item,QUOdtjebsvtXmwFFCcKOy,10
XA51RsO5ucGLti8nilE1f,마태복음,item,6SZeawrKEBedPAkqctyGh,1
Ze36vIPS3Ew4xD0nyMK_n,빌레몬서,item,6SZeawrKEBedPAkqctyGh,18
Zx3TBNWQAoWtZ4VFSgnL1,누가복음,item,6SZeawrKEBedPAkqctyGh,3
_3xpDQ-BG61wt3WrGggsX,데살로니가후서,item,6SZeawrKEBedPAkqctyGh,14
_Ax5VyDJwd4-20ZuPUvh9,잠언,item,QUOdtjebsvtXmwFFCcKOy,20
a0iHRmmKtJH9AqQALnDuQ,사무엘상,item,QUOdtjebsvtXmwFFCcKOy,9
aA2vxto0_rcIypwakoMbZ,요한계시록,item,6SZeawrKEBedPAkqctyGh,27
awK6ouTsdbfsxDGqIur25,욥기,item,QUOdtjebsvtXmwFFCcKOy,18
biqBntIQzrYL6Lo_BI9N8,역대상,item,QUOdtjebsvtXmwFFCcKOy,13
daN7V1-HN82LQw8OQysrG,요한복음,item,6SZeawrKEBedPAkqctyGh,4
f50JJIXJw4Co-N4z4fLAD,사도행전,item,6SZeawrKEBedPAkqctyGh,5
gJEqWpRxucsACo0knbbrQ,고린도전서,item,6SZeawrKEBedPAkqctyGh,7
gqHA6KSOUSvPqIPVbUMyC,베드로전서,item,6SZeawrKEBedPAkqctyGh,21
il9YnYaPYBHJImSS8X74w,느헤미야,item,QUOdtjebsvtXmwFFCcKOy,16
kk38fnOHAUCokM-sgg58e,창세기,item,QUOdtjebsvtXmwFFCcKOy,1
lnzlpqVN6hb01wH7rAHpf,전도서,item,QUOdtjebsvtXmwFFCcKOy,21
lq9VdLKna7yznbCxDqcqD,출애굽기,item,QUOdtjebsvtXmwFFCcKOy,2
oojh-JOJ_ZNDs7cWdxpuP,룻기,item,QUOdtjebsvtXmwFFCcKOy,8
pKjy27PFpkUW-sYR2o5pe,에레미야,item,QUOdtjebsvtXmwFFCcKOy,24
pKuq9__hffBeJfaeBP0aO,디도서,item,6SZeawrKEBedPAkqctyGh,17
qFlKrApPEElVHAqQg3k37,나훔,item,QUOdtjebsvtXmwFFCcKOy,34
qhCbRC1P3mZJoIfAa5U17,디모데후서,item,6SZeawrKEBedPAkqctyGh,16
sps6tfS9OU8sw_aJ90gu_,레위기,item,QUOdtjebsvtXmwFFCcKOy,3
t5zSICC8pz5jQYJf44GlF,에베소서,item,6SZeawrKEBedPAkqctyGh,10
tW_PO7t5ptHRotm1Ykj72,미가,item,QUOdtjebsvtXmwFFCcKOy,33
urcmNT2iPliuEwEFUd6O7,신명기,item,QUOdtjebsvtXmwFFCcKOy,5
vAs3Oo7ZC_0Av2w0xid-U,마가복음,item,6SZeawrKEBedPAkqctyGh,2
vazpMew0qhjXSu4RTkxgY,히브리서,item,6SZeawrKEBedPAkqctyGh,19
vkAwBz0auAIy5r_Ed25Tz,학개,item,QUOdtjebsvtXmwFFCcKOy,37
wzKCvfVrepxI7wwVCOeqj,하박국,item,QUOdtjebsvtXmwFFCcKOy,35
yYM3CKBO48-_7Yjr79hLe,에스겔,item,QUOdtjebsvtXmwFFCcKOy,26
z8ebBibhzG1BbzawedBoe,스가랴,item,QUOdtjebsvtXmwFFCcKOy,38
zN-bzhAB8ElJ3aYm3_lC-,이사야,item,QUOdtjebsvtXmwFFCcKOy,23
